,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len
0,36999,7,Mercedes-Benz,Automatic,30336,Silver,Black,19,V6,All-Wheel Drive,Gasoline,5,2551
1,39415,7,Chevrolet,Automatic,36052,Black,Black,25,V8,Front-Wheel Drive,Flex Fuel Vehicle,15,6158
2,19697,4,Honda,-1,17000,Gray,Black,33,I4,Front-Wheel Drive,Gasoline,5,2683
3,24799,7,Ford,Automatic,39221,Gray,Black,20,V6,Front-Wheel Drive,Gasoline,7,3341
4,24299,7,Jeep,Automatic,33961,White,Black,18,V6,Four-Wheel Drive,Gasoline,1,2090
5,29205,4,Mazda,Automatic,38417,Silver,Black,22,I4,All-Wheel Drive,Gasoline,14,4152
6,11980,7,Nissan,Automatic,115355,Silver,Black,29,I4,Front-Wheel Drive,Gasoline,21,1027
7,40899,6,Chevrolet,Automatic,27980,Black,-1,25,V8,Front-Wheel Drive,Gasoline,13,4661
8,40199,6,Chevrolet,Automatic,33232,Silver,-1,25,V8,Front-Wheel Drive,Gasoline,14,4617
9,43995,4,Cadillac,Automatic,3046,White,Black,21,V6,Front-Wheel Drive,Gasoline,17,3689
10,18399,6,Chrysler,Automatic,29634,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,11,3069
11,18399,6,Chrysler,Automatic,30852,Gray,Black,22,V6,Front-Wheel Drive,Gasoline,9,3067
12,17299,6,Dodge,Automatic,37128,Red,Black,19,V6,All-Wheel Drive,Gasoline,6,2577
13,7760,6,Ford,Automatic,79613,White,Black,25,I4,Front-Wheel Drive,Gasoline,3,2821
14,30199,5,Volvo,Automatic,26938,Silver,Black,23,I4,All-Wheel Drive,Gasoline,6,2694
15,21399,6,Ford,Automatic,45250,White,Black,23,I4,All-Wheel Drive,Gasoline,6,3020
16,18499,6,Nissan,-1,31501,Blue,-1,23,V6,Front-Wheel Drive,Gasoline,2,2613
17,26498,6,Nissan,Automatic,59041,White,-1,16,V8,Front-Wheel Drive,Gasoline,8,5954
18,26599,5,Ford,Automatic,40901,Gray,Black,22,I4,Front-Wheel Drive,Gasoline,7,2984
19,16980,6,Kia,Automatic,31302,Blue,Black,25,I4,Front-Wheel Drive,Gasoline,12,1124
20,43199,7,GMC,Automatic,32469,White,-1,25,V8,Front-Wheel Drive,Gasoline,11,4374
21,16999,8,Ford,Automatic,172148,White,-1,25,V6,-1,Gasoline,1,812
22,32936,3,Chevrolet,Automatic,5982,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,4,1831
23,16609,5,Dodge,Automatic,36658,White,Black,20,V6,Front-Wheel Drive,Gasoline,6,3096
24,29999,6,Chevrolet,Automatic,19167,White,Black,25,V8,-1,Gasoline,3,2412
25,22999,9,Chevrolet,Automatic,146607,Black,Black,19,V8,Front-Wheel Drive,Flex Fuel Vehicle,18,3589
26,40740,3,Audi,Automatic,3968,Black,Black,25,I4,All-Wheel Drive,Gasoline,12,6374
27,17499,6,Nissan,-1,35663,Silver,-1,24,V6,Front-Wheel Drive,Gasoline,9,2670
28,20299,4,Kia,Automatic,30000,-1,Black,22,V6,Front-Wheel Drive,Gasoline,6,2471
29,26799,5,Ford,Automatic,41281,Gray,Black,22,I4,Front-Wheel Drive,Gasoline,7,2984
30,9386,7,Ford,Automatic,36984,White,-1,108,-1,Front-Wheel Drive,Electric,9,4125
31,27795,5,Honda,Automatic,35878,White,Gray,22,V6,Front-Wheel Drive,Gasoline,16,4658
32,26899,6,Dodge,Automatic,31198,Red,Black,22,V6,Rear-Wheel Drive,Gasoline,10,2502
33,34498,5,Ford,Automatic,31604,Black,Black,18,V6,All-Wheel Drive,Gasoline,9,2048
34,17995,7,Jeep,Automatic,102568,Gray,Black,22,V6,Front-Wheel Drive,Gasoline,9,1225
35,9695,6,Nissan,-1,93075,Gray,Black,25,I4,Front-Wheel Drive,Gasoline,12,3855
36,46995,4,Toyota,Automatic,9916,-1,Black,14,V8,Four-Wheel Drive,Gasoline,6,1907
37,75994,7,Mercedes-Benz,Automatic,10563,Black,Black,20,V8,All-Wheel Drive,Gasoline,13,3582
38,19299,6,Chrysler,Automatic,24313,Gray,Black,22,V6,All-Wheel Drive,Gasoline,8,2880
39,27299,5,Jeep,Automatic,39835,Silver,Black,21,V6,Four-Wheel Drive,Gasoline,11,2986
40,17500,9,Dodge,Automatic,65165,Black,Black,23,V6,Rear-Wheel Drive,Gasoline,3,1182
41,27699,5,Jeep,Automatic,36877,Silver,Black,21,V6,Four-Wheel Drive,Gasoline,11,2981
42,10499,9,Honda,-1,95075,Silver,Black,33,I4,Front-Wheel Drive,Gasoline,7,712
43,45499,6,GMC,Automatic,32430,Black,Black,18,V8,Front-Wheel Drive,Gasoline,14,4225
44,50251,3,Toyota,Automatic,2612,-1,Black,25,I6,Rear-Wheel Drive,Gasoline,6,2111
45,31996,6,Honda,Automatic,35803,White,Black,22,V6,All-Wheel Drive,Gasoline,11,4137
46,26999,5,Honda,Automatic,14900,Black,Gray,22,V6,Front-Wheel Drive,Gasoline,5,4237
47,14000,6,Toyota,-1,21512,-1,-1,31,I4,Front-Wheel Drive,Gasoline,1,1846
48,19299,6,Chrysler,Automatic,26279,Black,Black,22,V6,All-Wheel Drive,Gasoline,8,2881
49,13949,5,Kia,Automatic,17199,Silver,Black,34,I4,Front-Wheel Drive,Gasoline,7,2194
50,9750,7,Ford,Automatic,34584,Silver,-1,108,-1,Front-Wheel Drive,Electric,10,4135
51,20975,6,Acura,Automatic,67449,Black,Black,23,V6,Front-Wheel Drive,Gasoline,7,4201
52,9980,10,MINI,Automatic,63970,White,Black,25,I4,Front-Wheel Drive,Gasoline,4,1119
53,17999,6,Nissan,-1,34710,White,-1,24,V6,Front-Wheel Drive,Gasoline,8,2601
54,14999,6,Nissan,-1,31397,Blue,Black,29,I4,Front-Wheel Drive,Gasoline,6,2064
55,6750,10,Honda,Automatic,150054,Black,Gray,34,I4,Front-Wheel Drive,Gasoline,2,3430
56,41240,6,Chevrolet,Automatic,29826,Silver,Black,25,V8,Front-Wheel Drive,Gasoline,15,4691
57,9980,10,Ford,Automatic,78974,White,Black,25,I4,All-Wheel Drive,Gasoline,11,1462
58,9899,5,Ford,-1,39861,Gray,Black,25,I4,Front-Wheel Drive,Gasoline,4,2745
59,28995,5,Honda,Automatic,25242,Gray,Black,22,V6,Front-Wheel Drive,Gasoline,15,4511
60,19996,6,MINI,Automatic,24362,Black,Black,27,I4,Front-Wheel Drive,Gasoline,6,1419
61,19099,6,Chrysler,Automatic,30448,White,Black,22,V6,All-Wheel Drive,Gasoline,8,2836
62,17299,4,Hyundai,Automatic,27205,White,Black,23,I4,All-Wheel Drive,Gasoline,5,2189
63,11999,9,Honda,Automatic,56379,Silver,-1,34,I4,Front-Wheel Drive,Gasoline,4,1512
64,12950,9,Jeep,Automatic,60226,-1,Black,25,-1,Four-Wheel Drive,-1,3,3558
65,32899,4,Jeep,Automatic,28317,Silver,Black,21,V6,Four-Wheel Drive,Gasoline,12,3367
66,29975,6,Lexus,Automatic,33338,Black,Black,23,V6,Front-Wheel Drive,Gasoline,8,4514
67,159900,6,Audi,-1,6891,Gray,Red,17,V10,All-Wheel Drive,Gasoline,13,1065
68,32995,6,BMW,Automatic,29277,Black,Black,25,I6,Rear-Wheel Drive,Gasoline,3,1124
69,43700,4,RAM,Automatic,33918,White,Black,17,V8,Four-Wheel Drive,Gasoline,7,3192
70,20199,4,Kia,Automatic,34669,White,Black,22,V6,Front-Wheel Drive,Gasoline,6,2324
71,36997,6,BMW,Automatic,24401,Black,Black,20,I6,All-Wheel Drive,Gasoline,9,3067
72,13980,10,Honda,Automatic,68436,Silver,Gray,26,I4,Front-Wheel Drive,Gasoline,1,1729
73,19099,6,Chrysler,Automatic,31539,Red,Black,22,V6,All-Wheel Drive,Gasoline,8,2834
74,18999,6,Chrysler,Automatic,32862,White,Black,22,V6,All-Wheel Drive,Gasoline,4,2836
75,13999,8,Honda,Automatic,65339,White,-1,25,I4,Front-Wheel Drive,Gasoline,3,125
76,17995,7,Nissan,-1,32572,Silver,-1,25,I4,Front-Wheel Drive,Gasoline,2,911
77,19099,6,Chrysler,Automatic,32266,White,Black,22,V6,All-Wheel Drive,Gasoline,8,2836
78,14900,5,Chevrolet,Automatic,11839,Silver,Black,28,I4,Front-Wheel Drive,Gasoline,6,3051
79,9395,9,Kia,Automatic,97766,-1,Gray,27,I4,Front-Wheel Drive,Gasoline,6,4726
80,31995,10,RAM,Automatic,49278,White,Black,25,-1,-1,-1,1,401
81,16495,8,Ford,Automatic,69091,-1,Black,24,I4,Front-Wheel Drive,Gasoline,16,4044
82,9999,9,Kia,Automatic,51918,Red,-1,27,I4,Front-Wheel Drive,Gasoline,2,1512
83,14995,12,Mazda,Manual,45767,White,Black,25,-1,Rear-Wheel Drive,-1,3,1049
84,29888,6,Audi,Automatic,18777,Black,Black,25,I4,All-Wheel Drive,Gasoline,2,2607
85,17980,7,Jeep,Automatic,17123,White,Gray,25,I4,Four-Wheel Drive,Gasoline,6,939
86,24199,5,Mazda,Automatic,44057,White,Black,22,I4,All-Wheel Drive,Gasoline,8,3614
87,11980,8,Ford,Automatic,64753,Black,Black,25,I4,All-Wheel Drive,Gasoline,11,1469
88,13999,8,Toyota,Automatic,49537,Gray,-1,25,I4,-1,Gasoline,3,179
89,40651,5,Tesla,Automatic,30936,Black,Black,25,-1,All-Wheel Drive,Electric,4,2675
90,22999,7,Ford,Automatic,44985,Black,Black,20,V6,Front-Wheel Drive,Gasoline,8,4804
91,12500,6,Hyundai,Automatic,98761,Gray,Black,29,I4,Front-Wheel Drive,Gasoline,14,4044
92,24648,5,Volkswagen,Automatic,35680,Blue,Black,20,V6,Front-Wheel Drive,Gasoline,4,2742
93,10985,7,Toyota,-1,132790,Red,Black,55,I4,Front-Wheel Drive,Hybrid,4,1578
94,9399,8,Toyota,Automatic,96153,Black,Black,25,I4,Front-Wheel Drive,Gasoline,7,3453
95,12999,7,Nissan,-1,93000,Gray,Black,29,I4,Front-Wheel Drive,Gasoline,2,4236
96,14299,5,Toyota,-1,34647,Red,Black,31,I4,Front-Wheel Drive,Gasoline,3,2424
97,25199,9,Chevrolet,Automatic,117613,White,Black,19,V8,Front-Wheel Drive,Flex Fuel Vehicle,17,4044
98,16999,5,Mitsubishi,-1,46586,Gray,Black,26,I4,All-Wheel Drive,Gasoline,10,3213
99,24199,4,Ford,Automatic,25859,Silver,Black,24,I4,All-Wheel Drive,Gasoline,4,2729
100,144900,5,Chevrolet,Automatic,6259,-1,-1,25,V8,Rear-Wheel Drive,Gasoline,18,538
101,11995,11,Honda,Automatic,102994,Silver,Black,26,I4,Front-Wheel Drive,Gasoline,8,3754
102,8999,7,Nissan,-1,82936,Black,Black,32,I4,Front-Wheel Drive,Gasoline,9,1347
103,39650,8,GMC,Automatic,61816,Silver,Black,17,V8,Four-Wheel Drive,Gasoline,13,5245
104,40888,4,Lexus,Automatic,3285,-1,-1,23,V6,Front-Wheel Drive,Gasoline,41,5771
105,32791,6,Lexus,Automatic,35163,-1,Black,23,V6,Front-Wheel Drive,Gasoline,4,3426
106,22991,7,Chevrolet,Automatic,31845,Gray,Black,18,V6,Front-Wheel Drive,Gasoline,13,3605
107,35998,6,Audi,Automatic,51243,Red,Black,25,V6,All-Wheel Drive,Gasoline,10,1815
108,27998,5,Ford,Automatic,13555,Black,Black,25,I4,-1,Gasoline,3,1507
109,14299,5,Toyota,-1,36974,Red,Black,31,I4,Front-Wheel Drive,Gasoline,1,2424
110,22997,7,Lexus,Automatic,51716,Red,-1,25,I4,-1,Gasoline,6,1539
111,59550,6,Land,Automatic,24217,Gray,-1,19,V6,All-Wheel Drive,Gasoline,6,2554
112,41988,5,Tesla,Automatic,20278,Silver,Black,25,-1,All-Wheel Drive,Electric,7,1625
113,21968,5,Subaru,Manual,3979,Silver,Black,25,H4,All-Wheel Drive,Gasoline,5,1923
114,44299,4,RAM,Automatic,35547,White,Black,17,V8,Four-Wheel Drive,Gasoline,3,2691
115,10488,6,Toyota,Automatic,47965,White,Black,35,I4,Front-Wheel Drive,Gasoline,2,1407
116,14495,5,Toyota,Automatic,72960,White,Black,32,I4,Front-Wheel Drive,Gasoline,3,2586
117,30215,4,Dodge,Automatic,32001,-1,Black,21,V6,All-Wheel Drive,Gasoline,9,3449
118,14499,8,Buick,Automatic,60250,-1,Black,28,I4,All-Wheel Drive,Gasoline,6,5309
119,9490,10,Volkswagen,Automatic,90385,-1,Black,22,I4,All-Wheel Drive,Gasoline,5,605
120,23995,6,Acura,Automatic,38771,White,Black,25,V6,-1,Gasoline,14,5785
121,50991,5,RAM,Automatic,81664,White,Black,25,I6,Four-Wheel Drive,Diesel,2,1380
122,18497,5,Honda,-1,32186,Black,-1,30,I4,Front-Wheel Drive,Gasoline,8,3260
123,12980,8,Mazda,Automatic,113209,Red,Black,26,I4,All-Wheel Drive,Gasoline,9,1864
124,14399,5,Toyota,-1,35638,Red,-1,31,I4,Front-Wheel Drive,Gasoline,1,2443
125,41100,5,RAM,Automatic,21425,Gray,Black,18,V8,Front-Wheel Drive,Gasoline,6,2580
126,60998,6,RAM,Automatic,47821,White,Black,25,I6,Four-Wheel Drive,Diesel,7,1765
127,6999,11,Mazda,Automatic,120608,-1,Black,32,I4,Front-Wheel Drive,Gasoline,3,1213
128,28299,7,Jeep,Automatic,38241,White,Black,17,V6,Four-Wheel Drive,Gasoline,3,2129
129,35496,6,BMW,Automatic,27342,Black,Black,55,I4,All-Wheel Drive,Gasoline,7,1173
130,13800,10,Chevrolet,Automatic,142858,Black,Black,17,V8,Front-Wheel Drive,Flex Fuel Vehicle,12,3398
131,21589,5,Chevrolet,Automatic,30459,White,Black,26,I4,Rear-Wheel Drive,Gasoline,4,2554
132,22250,7,Mercedes-Benz,Automatic,25401,White,Black,28,I4,Rear-Wheel Drive,Gasoline,7,4044
133,34600,5,Nissan,Automatic,51331,Black,Black,17,V8,Four-Wheel Drive,Gasoline,27,2080
134,14980,8,Ford,Automatic,97654,Red,Black,25,V6,Rear-Wheel Drive,Gasoline,5,1428
135,14105,5,Toyota,-1,42867,Red,Black,31,I4,Front-Wheel Drive,Gasoline,3,2652
136,11900,9,Kia,Automatic,57695,Black,-1,27,I4,Front-Wheel Drive,Gasoline,17,413
137,20880,11,Cadillac,Automatic,122686,White,White,15,V8,All-Wheel Drive,Flex Fuel Vehicle,2,595
138,24199,4,Ford,Automatic,27618,Red,Black,24,I4,All-Wheel Drive,Gasoline,6,2769
139,39999,6,Mercedes-Benz,Automatic,17754,Gray,Black,22,V6,Rear-Wheel Drive,Gasoline,7,2459
140,36888,6,Lexus,Automatic,24859,-1,Black,23,V6,Rear-Wheel Drive,Gasoline,13,7962
141,9499,11,Toyota,-1,110655,Black,Black,49,I4,Front-Wheel Drive,Hybrid,4,865
142,25959,7,Ford,Automatic,40158,Red,Black,20,V6,Front-Wheel Drive,Gasoline,7,3327
143,14999,11,Ford,Automatic,162428,White,Gray,25,V6,-1,Gasoline,3,483
144,41777,6,BMW,Automatic,33430,Black,Black,24,I6,Rear-Wheel Drive,Gasoline,10,2274
145,17988,7,Nissan,Automatic,67396,Black,-1,19,V6,Front-Wheel Drive,Gasoline,2,1001
146,32995,6,Lexus,Automatic,38606,Gray,Black,22,V6,Front-Wheel Drive,Gasoline,8,1788
147,24997,5,Honda,-1,13956,Blue,Gray,30,I4,Front-Wheel Drive,Gasoline,9,3219
148,24618,5,Nissan,Automatic,40267,Silver,-1,25,V6,Four-Wheel Drive,Gasoline,3,1576
149,29998,4,Ford,Automatic,2187,Gray,Black,25,I4,-1,Gasoline,2,1479
150,8615,14,Jeep,Automatic,74359,Silver,Gray,22,I4,Front-Wheel Drive,Gasoline,3,2406
151,18995,11,INFINITI,Automatic,106670,White,-1,16,V8,Four-Wheel Drive,Gasoline,18,6562
152,41999,6,Chevrolet,Automatic,31598,White,Black,25,V8,Front-Wheel Drive,Gasoline,13,4684
153,31950,4,Subaru,-1,16184,Black,-1,29,H4,All-Wheel Drive,Gasoline,12,3509
154,14599,5,Toyota,-1,34130,White,Black,31,I4,Front-Wheel Drive,Gasoline,3,2407
155,18199,4,Toyota,Automatic,32590,Black,Black,32,I4,Front-Wheel Drive,Gasoline,4,2374
156,39894,4,Jeep,Automatic,25794,Silver,Black,21,I4,Four-Wheel Drive,Gasoline,6,3300
157,32777,4,Chevrolet,Automatic,30295,White,-1,25,-1,Front-Wheel Drive,-1,7,5081
158,18900,6,BMW,Automatic,20192,Gray,-1,25,-1,Rear-Wheel Drive,-1,15,2518
159,32065,6,Jeep,Automatic,29106,Silver,Black,25,V6,Four-Wheel Drive,Gasoline,18,1631
160,22499,7,Lexus,Automatic,41748,Black,Black,24,I4,Front-Wheel Drive,Gasoline,3,917
161,11600,7,Hyundai,Automatic,72411,White,-1,29,I4,Front-Wheel Drive,Gasoline,5,1278
162,21999,8,Chevrolet,Automatic,75931,White,Black,19,V6,Four-Wheel Drive,Flex Fuel Vehicle,3,3625
163,23925,7,Ford,Automatic,61345,Black,-1,22,I4,Front-Wheel Drive,Gasoline,7,2106
164,30991,5,Lexus,-1,26402,Silver,Black,31,I4,All-Wheel Drive,Hybrid,2,2447
165,41991,4,Lexus,Automatic,4817,White,-1,23,V6,Front-Wheel Drive,Gasoline,6,2613
166,13980,7,Mazda,Automatic,43500,Blue,Gray,32,I4,Front-Wheel Drive,Gasoline,7,995
167,19991,9,GMC,Automatic,91352,Red,Black,21,V6,Front-Wheel Drive,Gasoline,5,4476
168,8999,7,Hyundai,Automatic,109371,Silver,Gray,29,I4,Front-Wheel Drive,Gasoline,5,2624
169,9499,8,Kia,Automatic,60392,Gray,Black,26,I4,Front-Wheel Drive,Gasoline,2,692
170,20299,4,Kia,Automatic,38777,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,6,2288
171,22999,9,Chevrolet,Automatic,124357,Black,Black,19,V8,Front-Wheel Drive,Flex Fuel Vehicle,25,3349
172,35696,6,Mercedes-Benz,Automatic,11219,Silver,Black,25,I4,Rear-Wheel Drive,Gasoline,19,2369
173,30900,6,Toyota,Automatic,18243,Silver,Black,23,V6,Front-Wheel Drive,Gasoline,11,2678
174,24995,11,Ford,Automatic,111923,White,Black,17,V6,Four-Wheel Drive,Gasoline,8,1738
175,13495,8,Mazda,Automatic,101806,Black,Black,29,I4,Front-Wheel Drive,Gasoline,12,5076
176,21900,11,Ford,Automatic,111598,White,Black,16,V8,Four-Wheel Drive,Flex Fuel Vehicle,4,1170
177,30190,6,Jeep,Automatic,32292,Red,Black,17,V6,Four-Wheel Drive,Gasoline,3,3643
178,15975,9,Chevrolet,Automatic,103206,Silver,-1,20,V6,Front-Wheel Drive,Gasoline,12,4827
179,12900,10,Honda,Automatic,105188,Black,Black,26,V6,Front-Wheel Drive,Gasoline,5,1936
180,22585,5,Mazda,Automatic,42102,Silver,Black,26,I4,All-Wheel Drive,Gasoline,9,1314
181,30995,6,Land,Automatic,23945,Black,Black,22,I4,All-Wheel Drive,Gasoline,3,1563
182,15225,5,Toyota,Automatic,30319,White,Black,31,I4,Front-Wheel Drive,Gasoline,6,1914
183,46995,4,Cadillac,Automatic,2483,White,Black,21,V6,Front-Wheel Drive,Gasoline,18,3857
184,55995,7,Porsche,-1,12689,Gray,-1,25,H4,Rear-Wheel Drive,Gasoline,4,2107
185,19900,5,Honda,-1,21307,Gray,Black,36,I4,Front-Wheel Drive,Gasoline,13,1774
186,57950,6,Cadillac,Automatic,27189,Black,Black,18,V8,Rear-Wheel Drive,Gasoline,14,5242
187,11500,21,Jeep,Automatic,116600,Black,Black,15,I6,Four-Wheel Drive,Gasoline,1,405
188,17300,6,Toyota,-1,33202,Black,Black,28,I4,Front-Wheel Drive,Gasoline,3,2473
189,35998,6,Chevrolet,Automatic,40252,Silver,Black,25,V8,Four-Wheel Drive,Gasoline,4,1575
190,29998,6,Jeep,Automatic,31759,Silver,Black,17,V6,Four-Wheel Drive,Gasoline,2,1436
191,16704,4,Volkswagen,Manual,11424,Black,Black,31,I4,Front-Wheel Drive,Gasoline,9,2015
192,31975,6,Mercedes-Benz,Automatic,30253,Black,-1,25,I4,Rear-Wheel Drive,Gasoline,11,4372
193,9996,6,Nissan,Automatic,110120,White,Black,31,I4,Front-Wheel Drive,Gasoline,3,2788
194,24995,4,Buick,Automatic,2272,White,-1,25,I4,Front-Wheel Drive,Gasoline,11,2612
195,12499,7,Honda,Automatic,34651,Gray,-1,36,I4,Front-Wheel Drive,Gasoline,3,1512
196,30900,6,Acura,Automatic,20374,White,-1,22,V6,Front-Wheel Drive,Gasoline,13,2867
197,39990,5,Chevrolet,Automatic,61452,Black,-1,17,V8,Four-Wheel Drive,Gasoline,14,6199
198,34297,6,Mercedes-Benz,Automatic,20457,White,-1,25,I4,Rear-Wheel Drive,Gasoline,19,2381
199,19999,6,Nissan,-1,31492,Gray,Black,23,V6,Front-Wheel Drive,Gasoline,3,2649
200,19999,9,BMW,Automatic,52158,Gray,-1,36,I4,All-Wheel Drive,Diesel,11,1512
201,17574,5,Volkswagen,Automatic,9517,Silver,Black,32,I4,Front-Wheel Drive,Gasoline,9,1998
202,29999,6,Mercedes-Benz,Automatic,35692,Black,Black,25,I4,Rear-Wheel Drive,Gasoline,7,2930
203,26395,8,Mercedes-Benz,Automatic,32559,Gray,Gray,20,V6,Rear-Wheel Drive,Gasoline,4,4385
204,11991,11,Acura,Automatic,96977,Gray,Black,26,I4,Front-Wheel Drive,Gasoline,3,746
205,18198,4,Honda,-1,19581,Black,Black,35,I4,Front-Wheel Drive,Gasoline,4,2562
206,21900,6,INFINITI,Automatic,28918,Blue,-1,26,I4,Rear-Wheel Drive,Gasoline,15,1408
207,18999,9,BMW,Automatic,61461,Gray,-1,24,I6,Rear-Wheel Drive,Gasoline,11,1615
208,123900,8,Bentley,Automatic,25236,-1,-1,18,V8,All-Wheel Drive,Gasoline,5,1684
209,31500,4,Nissan,-1,2756,-1,Black,24,V6,Front-Wheel Drive,Gasoline,11,1849
210,12995,11,Ford,Automatic,64065,-1,Black,22,V6,Front-Wheel Drive,Gasoline,13,2524
211,17800,9,Dodge,Automatic,76465,Gray,Black,22,V6,All-Wheel Drive,Gasoline,10,904
212,35934,6,Jeep,Automatic,30136,-1,Black,20,V6,Four-Wheel Drive,Gasoline,1,3895
213,19609,6,Chrysler,Automatic,41626,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,12,3797
214,12980,12,Honda,Automatic,99482,Gray,Gray,23,V6,Front-Wheel Drive,Gasoline,9,1924
215,36040,6,Jeep,Automatic,28950,-1,Black,20,V6,Four-Wheel Drive,Gasoline,1,3895
216,5999,19,Chevrolet,Automatic,175299,-1,-1,15,V8,Rear-Wheel Drive,Flex Fuel Vehicle,2,1314
217,22820,4,Jeep,Automatic,27113,Gray,Black,25,I4,Four-Wheel Drive,Gasoline,7,3334
218,16999,9,INFINITI,-1,74471,Black,Black,23,V6,Front-Wheel Drive,Gasoline,12,1030
219,18966,5,Subaru,Automatic,92110,Silver,Black,29,H4,All-Wheel Drive,Gasoline,9,2163
220,28000,6,Toyota,Automatic,23590,Silver,-1,23,V6,Front-Wheel Drive,Gasoline,4,3151
221,7799,16,BMW,Automatic,91153,Gray,Black,20,I6,All-Wheel Drive,Gasoline,7,802
222,17900,21,Chevrolet,Manual,73332,Red,-1,21,V8,Rear-Wheel Drive,Gasoline,2,2326
223,23925,4,Nissan,Automatic,11256,Gray,Black,31,I4,Front-Wheel Drive,Gasoline,16,2533
224,13899,6,Hyundai,Automatic,72900,Silver,Gray,25,I4,-1,Gasoline,4,1231
225,22367,4,Mazda,Automatic,32294,Silver,Black,26,I4,All-Wheel Drive,Gasoline,15,2063
226,23297,4,Ford,Automatic,27762,Red,-1,24,I4,Front-Wheel Drive,Gasoline,3,350
227,21850,6,Jeep,Automatic,43677,-1,-1,22,V6,Front-Wheel Drive,Gasoline,5,1469
228,22499,4,Jeep,Automatic,30791,Black,Black,25,I4,Four-Wheel Drive,Gasoline,6,3341
229,17900,8,Dodge,Automatic,70389,-1,Black,23,V6,Rear-Wheel Drive,Gasoline,5,1206
230,14980,6,Hyundai,Automatic,18893,Black,Black,27,I4,Front-Wheel Drive,Gasoline,4,728
231,27688,6,Lexus,-1,27652,-1,Black,31,I4,All-Wheel Drive,Hybrid,6,2135
232,21488,4,Hyundai,Automatic,6488,Blue,-1,24,I4,Front-Wheel Drive,Gasoline,8,2113
233,17494,6,Chevrolet,Automatic,33964,White,Black,25,I4,Front-Wheel Drive,Gasoline,3,1076
234,8499,10,Ford,Automatic,94000,-1,-1,28,I4,Front-Wheel Drive,Gasoline,5,130
235,22898,5,Nissan,Automatic,27575,Silver,-1,25,V6,Front-Wheel Drive,Gasoline,3,1748
236,19769,6,Toyota,Automatic,34024,Silver,Black,26,I4,Front-Wheel Drive,Gasoline,1,4502
237,9999,9,Ford,Automatic,63000,-1,-1,27,I4,Front-Wheel Drive,Gasoline,3,1599
238,40490,5,Chevrolet,Automatic,11615,White,-1,20,V8,Rear-Wheel Drive,Gasoline,5,4849
239,18999,6,Chrysler,Automatic,33539,Silver,Black,22,V6,All-Wheel Drive,Gasoline,11,2951
240,20950,5,Toyota,-1,15938,-1,-1,25,I4,-1,Gasoline,6,134
241,81500,6,Porsche,Automatic,37295,Black,Black,25,H6,Rear-Wheel Drive,Gasoline,4,3714
242,13999,6,Toyota,Automatic,40350,-1,Black,31,I4,Front-Wheel Drive,Gasoline,3,2502
243,14996,10,Honda,Automatic,76459,Black,Black,25,I4,All-Wheel Drive,Gasoline,9,4044
244,15499,8,Toyota,-1,50112,Silver,Black,52,I4,Front-Wheel Drive,Hybrid,3,867
245,29999,9,Maserati,Automatic,37641,Gray,Black,19,V6,All-Wheel Drive,Gasoline,6,2891
246,50199,5,Chevrolet,Automatic,28483,Silver,-1,25,V8,Four-Wheel Drive,Gasoline,14,4564
247,35799,6,Jeep,Automatic,33430,-1,Black,20,V6,Four-Wheel Drive,Gasoline,1,3895
248,71998,4,BMW,Automatic,4910,Black,Black,22,I6,All-Wheel Drive,Gasoline,9,1826
249,32998,4,Mercedes-Benz,Automatic,10891,Blue,Black,29,I4,Front-Wheel Drive,Gasoline,15,2489
250,34995,9,RAM,Automatic,56759,White,Black,25,-1,-1,-1,3,409
251,14990,9,Volkswagen,Automatic,69629,Black,Black,28,I4,Front-Wheel Drive,Gasoline,4,4746
252,22995,10,Chevrolet,Automatic,93729,Black,Gray,25,V8,Four-Wheel Drive,Flex Fuel Vehicle,3,3357
253,31292,4,Lexus,-1,3809,-1,-1,39,I4,All-Wheel Drive,Hybrid,5,2035
254,27990,6,Mercedes-Benz,Automatic,32717,Black,Black,24,I4,Rear-Wheel Drive,Gasoline,6,3788
255,10995,10,Honda,Automatic,111521,-1,-1,26,I4,Front-Wheel Drive,Gasoline,3,425
256,26995,8,GMC,Automatic,56905,Black,Black,20,V6,Four-Wheel Drive,Gasoline,5,2339
257,31591,7,Lexus,-1,27464,-1,Black,25,V6,Rear-Wheel Drive,Gasoline,5,2120
258,14999,7,Honda,-1,55000,White,-1,31,I4,Front-Wheel Drive,Gasoline,3,4070
259,23599,5,Nissan,Automatic,12000,Silver,Gray,19,V6,Front-Wheel Drive,Gasoline,3,4133
260,15980,10,Chevrolet,Automatic,84055,Gray,Black,23,V6,Rear-Wheel Drive,Gasoline,5,1580
261,28591,5,Lexus,Automatic,13508,-1,Black,24,I4,Front-Wheel Drive,Gasoline,2,2452
262,9450,8,Kia,Automatic,84972,Silver,Black,27,I4,Front-Wheel Drive,Gasoline,2,3630
263,11590,9,Honda,-1,63019,Black,Black,34,I4,Front-Wheel Drive,Gasoline,3,421
